#SampleID	BarcodeSequence	LinkerPrimerSequence	Description	Step
4.141624			4	1
5.141611			5	1
6.141591			6	1
10.141584			10	1
14.141626			14	1
16.141621			16	1
23.141623			23	1
27.141607			27	1
31.141636			31	1
33.141601			33	1
48.141603			48	1
57.141617			57	1
58.141599			58	1
63.141595			63	1
64.141597			64	1
70.141637			70	1
77.141630			77	1
84.141589			84	1
92.141604			92	2
98.141606			98	2
100.141640			100	2
118.141596			118	2
128.141644			128	2
133.141587			133	2
134.141598			134	2
139.141594			139	2
141.141608			141	2
146.141614			146	2
161.141600			161	2
168.141602			168	3
172.141646			172	3
173.141616			173	3
195.141632			195	3
206.141588			206	3
240.141627			240	3
252.141619			252	3
265.141629			265	3
273.141590			273	3
280.141645			280	3
294.141620			294	3
297.141642			297	3
371.141628			371	4
413.141610			413	4
432.141625			432	4
441.141592			441	4
454.141609			454	4
468.141593			468	4
469.141615			469	4
539.141634			539	4
623.141631			623	4
745.141639			745	4
831.141643			831	4
835.141605			835	4
838.141613			838	4
Mother.141622			Mother	M
